id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNMNllPWER3EAE,,a month ago,2024-08-11 17:55:35.019701,5.0,Shubham chauhan,0,https://www.google.com/maps/contrib/117907428967056965211/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMOGJlNk1nEAE,Good,a month ago,2024-08-11 17:55:35.019701,5.0,Sai Krishna Ashwathnarayan,0,https://www.google.com/maps/contrib/100363793662236282849/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMOGRhakZREAE,It is one of the best hotel in Mumbai with great ambiance and delicious food and dessert options.The service provided by the hotel staffs is very good,a month ago,2024-08-11 17:55:35.020700,5.0,Kayarkanni M,0,https://www.google.com/maps/contrib/107527069540275567823/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMc2V2bHRBRRAB,,a month ago,2024-08-11 17:55:35.021703,5.0,Harsh Kokitkar,1,https://www.google.com/maps/contrib/109478946701228540826/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMc1pITnRRRRAB,Love the food must come!!,a month ago,2024-08-11 17:55:35.022702,5.0,neelam darmesh,0,https://www.google.com/maps/contrib/100123587162429327380/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMc2FLamtBRRAB,"I recently visited Barbeque Nation in Worli, Mumbai, and had an exceptional dining experience. The live grill at the table was a unique and fun way to enjoy a variety of delicious starters, perfectly seasoned and cooked to our liking. The buffet spread was extensive, offering a great mix of vegetarian and non-vegetarian options. The ambiance was lively, and the staff was incredibly attentive and courteous, enhancing our overall experience. The desserts were a delightful finish to a fantastic meal. Highly recommend this place for a memorable dining outing!",a month ago,2024-08-11 17:55:35.022702,5.0,Jwellyn,0,https://www.google.com/maps/contrib/115969124615158013102/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMMFlfQ25nRRAB,Wow super,a month ago,2024-08-11 17:55:39.742991,5.0,AMICO ELECTROMAC,0,https://www.google.com/maps/contrib/114703588398037459491/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMMGJYcHJRRRAB,Good place to eat,a month ago,2024-08-11 17:55:39.743991,5.0,Bijan Padhi,0,https://www.google.com/maps/contrib/112923064036047853618/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMMGFYX01BEAE,Its fantastic staff is well good service is excellent,a month ago,2024-08-11 17:55:39.743991,5.0,Mukesh Meena,0,https://www.google.com/maps/contrib/114433438811112265321/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMdnFqQTlRRRAB,,a month ago,2024-08-11 17:55:39.743991,5.0,Nitesh Hemnani,0,https://www.google.com/maps/contrib/101858061167010734788/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMM3NYMnhBRRAB,Excellent,a month ago,2024-08-11 17:55:39.745053,5.0,Manoj Kumar,0,https://www.google.com/maps/contrib/118292936170751214857/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMN3VfZVV3EAE,Good food good service.Visite again,a month ago,2024-08-11 17:55:39.746064,5.0,KKunal Dave,0,https://www.google.com/maps/contrib/105180128575249153294/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMcnJQdlh3EAE,Nice atmosphere for Dinner. Food 🍲 is diliicus..,a month ago,2024-08-11 17:55:39.746064,5.0,Ashish Paliwal,35,https://www.google.com/maps/contrib/104168146287147618915/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMaHYzVTF3RRAB,Very good . Please visit the place,a month ago,2024-08-11 17:55:39.747077,5.0,BITAN MUKHERJEE,0,https://www.google.com/maps/contrib/117396578326182864266/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMaHZiZXZBRRAB,Good for nom veg lovers,a month ago,2024-08-11 17:55:39.747077,5.0,Shailesh Pandey,29,https://www.google.com/maps/contrib/109017193446301143344/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMdXJQRnFBRRAB,All foods super quality,a month ago,2024-08-11 17:55:39.747077,5.0,anil kumar,0,https://www.google.com/maps/contrib/105134139506717044254/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMbXFfYVF3EAE,Delicious food And great hospitality Staff was goog I'm loving it,a month ago,2024-08-11 17:55:44.959674,5.0,Azp Care,0,https://www.google.com/maps/contrib/111984553907641198248/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMaXJhMThRRRAB,,a month ago,2024-08-11 17:55:44.959674,5.0,Nadeem Khan,0,https://www.google.com/maps/contrib/100039795478091773641/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMc3BPTzN3RRAB,Good experience,a month ago,2024-08-11 17:55:44.959674,5.0,Abhishek Abhi,0,https://www.google.com/maps/contrib/111578622911660997692/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMMHNXb2ZBEAE,"The food is excellent and service very good , worth visits",a month ago,2024-08-11 17:55:44.960893,5.0,jagdish shetty,0,https://www.google.com/maps/contrib/107309394362362370439/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMNHBURk1REAE,Excellent food and delicious food,a month ago,2024-08-11 17:55:44.960893,5.0,Binay Singh,6,https://www.google.com/maps/contrib/103074252014447072102/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMNG9TV3BRRRAB,,a month ago,2024-08-11 17:55:44.961930,5.0,success mantra,0,https://www.google.com/maps/contrib/106243146348946678231/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMbkphYlB3EAE,,a month ago,2024-08-11 17:55:44.963196,5.0,Hemant Sain,0,https://www.google.com/maps/contrib/115170594877975421942/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMbk9URFpnEAE,This is the great place for dinner and best atmosphere....pls go nd visit there.,a month ago,2024-08-11 17:55:44.964207,5.0,Samiksha Urade,0,https://www.google.com/maps/contrib/109281311557760414993/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMN1BmMGxBRRAB,Awesome restaurant,a month ago,2024-08-11 17:55:44.964207,5.0,Rahul Solanki,1,https://www.google.com/maps/contrib/109642167070258508987/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMN01XOU5nEAE,Lovely food,a month ago,2024-08-11 17:55:44.964207,5.0,vitthal late,0,https://www.google.com/maps/contrib/105625197908226782522/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMN0lTVjhRRRAB,This Hotel is best,a month ago,2024-08-11 17:55:44.965212,5.0,pooja Mahla,0,https://www.google.com/maps/contrib/110925263437337402264/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMekx1Qjh3RRAB,"Absolutely delightful dining experience! The ambiance was cozy and inviting, the staff attentive and friendly. Each dish was a culinary masterpiece, bursting with flavor and beautifully presented. Their signature dessert is a must-try. Highly recommend for anyone looking to enjoy a memorable meal. Five stars!",a month ago,2024-08-11 17:55:44.965212,5.0,Aamir Khan,6,https://www.google.com/maps/contrib/109206872146640114636/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMelAzcEdnEAE,"I love the food taste,the pleasant atmosphere and the service given to me as a customer was top notch 🫶🏻",a month ago,2024-08-11 17:55:44.966211,5.0,Anand Salve,0,https://www.google.com/maps/contrib/114414820523059463822/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMak92Tm5nRRAB,,a month ago,2024-08-11 17:55:44.967211,5.0,LamBarDar,0,https://www.google.com/maps/contrib/101033032393302432021/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMbFBlbXNnRRAB,It was nice experience,a month ago,2024-08-11 17:55:44.968210,5.0,sudarshan darshu,7,https://www.google.com/maps/contrib/113200033206769134290/reviews?hl=en
